user,date,content,replyCount,retweetCount,likeCount
TonyRobbins,[   3    1 2021],"I'm going LIVE in a couple of hours in the NEW WORLD NEW YOU Challenge to show you how to create a happy and fulfilled life.💥 There's still time to join us! Sign up for FREE here  ➡️ https://t.co/EnpqWj3vLG

Register NOW and join me live at 11AM PST | 2PM EST!

See you soon! https://t.co/7uj6V7Q3N8",21,40,201
TonyRobbins,[   3    1 2021],"Behind the scenes, the calm before the storm! We’re finalizing set-up for our 🚀 NEW WORLD NEW YOU CHALLENGE kicking off in less than 24 hours.

There’s still time to join us tomorrow — go to ➡️ https://t.co/EnpqWj3vLG

Looking forward to seeing you there! 1. 21. 21 👊 https://t.co/MCp4D43ufN",38,37,371
TonyRobbins,[   3    1 2021],"Thanks for having me on, @EvanCarmichael!! 🙏🙌 

Take THIS QUICK TEST and FIND OUT How to CHANGE Your LIFE in 2021! | Ton... https://t.co/XYx9UOTac4",5,13,102
TonyRobbins,[   3    1 2021],"Thanks for having me on The Storybox Podcast! Great to connect and share more about my upcoming New World New You Challenge! 

Be The Best Version of You Possible with Tony Robbins https://t.co/Rysno3sG9p",6,12,88
TonyRobbins,[   3    1 2021],"Ready to thrive in 2021? Join my brand new 5-day LIVE Challenge starting THIS WEEK — Jan. 21st - 25th — so you can learn how to create the mindset that will help you succeed. It's free!

Register here: https://t.co/EnpqWiLUU8. Let's take on 2021 together! https://t.co/AmgKwrQxgQ",14,31,180
TonyRobbins,[   2    1 2021],"Don’t waste one minute of this new year. Join my brand new 5-day LIVE Challenge starting January 21st so you can learn how to create the mindset that will help you THRIVE.

Register for my LIVE New World New You Challenge: https://t.co/EnpqWj3vLG. Let's take on 2021 together! https://t.co/wXtsdGVdOB",24,38,236
TonyRobbins,[  53    1 2021],"In 2021 we’re not just facing a new year, we’re facing a whole new world. To help us all adapt and create the mindset that will help us THRIVE, I'm hosting a brand new 5 day LIVE #Challenge starting January 21st!

Click here to sign up — it's FREE!
https://t.co/EnpqWj3vLG",58,53,269
TonyRobbins,[  53   12 2020],"Join us for our 3rd &amp; final Fireside Chat where we share the secret to living a blessed life!
Watch here: https://t.co/lL6fJ4K3vD. Sage &amp; I also share our end of year rituals that help ground us in gratitude &amp; joy as we look ahead to the coming year (+ an exciting announcement!). https://t.co/AWruBCRb4o",43,31,353
TonyRobbins,[  52   12 2020],"Tonight’s the night we’ve been waiting for, for ohh... 400 years! The last time #Saturn and #Jupiter appeared this close together in our sky, Galileo was watching! So to all you amateur astronomers like us out there, enjoy this spectacular spectacle in the sky! #ChristmasStar https://t.co/dChZjyV4Zr",47,124,994
TonyRobbins,[  52   12 2020],"GRACE is the invisible force that connects us all. It is the Fabric of Existence. Enjoy this episode on the Power of #GRACE, with words of wisdom from my beloved Sage in conversation with our dear friend Michael Singer, author of #TheUntetheredSoul. 

https://t.co/uqq7HSGTpS",22,42,249
TonyRobbins,[  51   12 2020],"With the holidays upon us, a friendly reminder that #LOVE IS THE GREATEST GIFT we could ever possibly offer those we care about. The quality of our LIFE is the quality of our RELATIONSHIPS. https://t.co/9YLE6IWSP0",47,68,380
TonyRobbins,[  51   12 2020],"The African Community &amp; Conservation Foundation founded by my dear friend Paul Tudor Jones is hosting tonight’s @EndangrdRangrs event. Making a donation provides support to the ACCF &amp; Zambezi Partners with innovative, scalable &amp; effective anti-poaching initiatives. https://t.co/OPyRSyDpFE",13,19,154
TonyRobbins,[  50   12 2020],I’m proud to announce that the @TonyRobbinsFdn is a sponsor of @xprize #FeedTheNextBillion! Details on the inspiration behind the latest $15M #XPRIZE in our new podcast with my dear friend &amp; XPRIZE Founder &amp; Exec. Chairman @PeterDiamandis: https://t.co/yZc2O9zUav https://t.co/S7QuipnYIA,23,34,165
TonyRobbins,[  48   11 2020],Check out the recap video from Unleash the Power Within Virtual November 2020! https://t.co/WfTu6gF0vo #tonyrobbinsupw,20,41,169
TonyRobbins,[  48   11 2020],The 10 Gifts of Life | Tony Robbins https://t.co/hEmZpHYOhy,16,42,181
